title,img_url,product_link
"Gold Metal Rectangular Lantern, 12""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124405230/gold-metal-rectangular-lantern-12.jpg",https://www.athome.com//gold-metal-rectangular-lantern-12/124405230.html
"Black Candle Holder, 7""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124268389/black-candle-holder-7.jpg",https://www.athome.com//black-candle-holder-7/124268389.html
"Black Ombre Glass Lantern, 11""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124346891/black-ombre-glass-lantern-11.jpg",https://www.athome.com//black-ombre-glass-lantern-11/124346891.html
"Wooden Cylinder Lantern, 12""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124405228/wooden-cylinder-lantern-12.jpg",https://www.athome.com//wooden-cylinder-lantern-12/124405228.html
"Hammered Gold Metal Pillar Candle Holder, 4""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124391167/hammered-gold-metal-pillar-candle-holder-4.jpg",https://www.athome.com//hammered-gold-metal-pillar-candle-holder-4/124391167.html
"Dark Grey Glass Votive Candle Holder, 3""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124394389/dark-grey-glass-votive-candle-holder-3.jpg",https://www.athome.com//dark-grey-glass-votive-candle-holder-3/124394389.html
"Honeybloom Glass Lantern, 10""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124399949/honeybloom-glass-lantern-10.jpg",https://www.athome.com//honeybloom-glass-lantern-10/124399949.html
"Clear Glass Votive Candle Holder, 3x4","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124399839/clear-glass-votive-candle-holder-3x4.jpg",https://www.athome.com//clear-glass-votive-candle-holder-3x4/124399839.html
"Dark Grey Pre-Lit LED Floor Lantern, 28""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124295127/dark-grey-pre-lit-led-floor-lantern-28.jpg",https://www.athome.com//dark-grey-pre-lit-led-floor-lantern-28/124295127.html
"White Carved Candle Holder, 9""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124267622/white-carved-candle-holder-9.jpg",https://www.athome.com//white-carved-candle-holder-9/124267622.html
"Wooden Candle Holder, 8""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124394418/wooden-candle-holder-8.jpg",https://www.athome.com//wooden-candle-holder-8/124394418.html
10In Clear Glass Cylinder Hurricane,"https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124405197/10in-clear-glass-cylinder-hurricane.jpg",https://www.athome.com//10in-clear-glass-cylinder-hurricane/124405197.html
"Antique Gold Plate Taper Candle Holder, 4""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124394568/antique-gold-plate-taper-candle-holder-4.jpg",https://www.athome.com//antique-gold-plate-taper-candle-holder-4/124394568.html
"Tracey Boyd Metallic Metal Candle Holder, 10""","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124361996/tracey-boyd-metallic-metal-candle-holder-10.jpg",https://www.athome.com//tracey-boyd-metallic-metal-candle-holder-10/124361996.html
"Black Metal Lantern, Small","https://static.athome.com/images/w_200,h_200,c_pad,f_auto,fl_lossy,q_auto/p/124394357/black-metal-lantern-small.jpg",https://www.athome.com//black-metal-lantern-small/124394357.html
